"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"Pakistan","Total Renewable","Electricity Installed Capacity (MW)","All","2024",15201.3180
"Palau","Total Renewable","Electricity Installed Capacity (MW)","All","2024",19.8780
"Panama","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3030.9770
"Papua New Guinea","Total Renewable","Electricity Installed Capacity (MW)","All","2024",398.8390
"Paraguay","Total Renewable","Electricity Installed Capacity (MW)","All","2024",8866.6040
"Peru","Total Renewable","Electricity Installed Capacity (MW)","All","2024",7403.6260
"Philippines (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",9299.5450
"Poland","Total Renewable","Electricity Installed Capacity (MW)","All","2024",32423.1540
"Portugal","Total Renewable","Electricity Installed Capacity (MW)","All","2024",20475.6190
"Puerto Rico","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1193.3450
"Qatar","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1699.1000
"Republic of Korea (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",33782.3270
"Republic of Moldova (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",538.0800
"Réunion","Total Renewable","Electricity Installed Capacity (MW)","All","2024",474.5410
"Romania","Total Renewable","Electricity Installed Capacity (MW)","All","2024",14528.7060
"Russian Federation (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",54432.6800
"Rwanda","Total Renewable","Electricity Installed Capacity (MW)","All","2024",181.6340
"Saint Barthélemy","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1.2000
"Saint Kitts and Nevis","Total Renewable","Electricity Installed Capacity (MW)","All","2024",6.7140
"Saint Lucia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",5.1560
"Saint Martin (French Part)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2.1000
"Saint Pierre and Miquelon","Total Renewable","Electricity Installed Capacity (MW)","All","2024",-
"Saint Vincent and the Grenadines","Total Renewable","Electricity Installed Capacity (MW)","All","2024",10.5130
"Samoa","Total Renewable","Electricity Installed Capacity (MW)","All","2024",32.6740
"Sao Tome and Principe","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2.4730
"Saudi Arabia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",4743.3740
"Senegal","Total Renewable","Electricity Installed Capacity (MW)","All","2024",480.7310
"Serbia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3412.6250
"Seychelles","Total Renewable","Electricity Installed Capacity (MW)","All","2024",23.7450
"Sierra Leone","Total Renewable","Electricity Installed Capacity (MW)","All","2024",115.1110
"Singapore","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1374.1310
"Sint Maarten (Dutch Part)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",-
"Slovakia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2691.0000
"Slovenia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2561.9360
"Solomon Islands","Total Renewable","Electricity Installed Capacity (MW)","All","2024",7.2760
"Somalia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",49.4590
"South Africa","Total Renewable","Electricity Installed Capacity (MW)","All","2024",11129.0680
"South Georgia and the South Sandwich Islands","Total Renewable","Electricity Installed Capacity (MW)","All","2024",0.1990
"South Sudan","Total Renewable","Electricity Installed Capacity (MW)","All","2024",30.4690
"Spain","Total Renewable","Electricity Installed Capacity (MW)","All","2024",88498.1480
"Sri Lanka","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3612.2290
"State of Palestine (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",197.6730
"Sudan (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1870.8600
"Suriname","Total Renewable","Electricity Installed Capacity (MW)","All","2024",191.3870
"Sweden","Total Renewable","Electricity Installed Capacity (MW)","All","2024",42363.0000
"Switzerland","Total Renewable","Electricity Installed Capacity (MW)","All","2024",24344.1290
"Syrian Arab Republic (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1557.3050
"Tajikistan","Total Renewable","Electricity Installed Capacity (MW)","All","2024",5737.5380
"Thailand","Total Renewable","Electricity Installed Capacity (MW)","All","2024",12603.6190
"Timor-Leste","Total Renewable","Electricity Installed Capacity (MW)","All","2024",0.8070
"Togo","Total Renewable","Electricity Installed Capacity (MW)","All","2024",133.5440
"Tokelau","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1.0350
"Tonga","Total Renewable","Electricity Installed Capacity (MW)","All","2024",16.9300
"Trinidad and Tobago","Total Renewable","Electricity Installed Capacity (MW)","All","2024",4.6340
"Tunisia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1084.0760
"Türkiye","Total Renewable","Electricity Installed Capacity (MW)","All","2024",68983.7310
"Turkmenistan","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2.2000
"Turks and Caicos Islands","Total Renewable","Electricity Installed Capacity (MW)","All","2024",4.0190
"Tuvalu","Total Renewable","Electricity Installed Capacity (MW)","All","2024",4.5530
"Uganda","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1814.3480
"Ukraine","Total Renewable","Electricity Installed Capacity (MW)","All","2024",7150.0000
"United Arab Emirates (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",6144.0970
"United Kingdom of Great Britain and Northern Ireland (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",58247.2440
"United Republic of Tanzania (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1477.6660
"United States of America (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",428405.0910
"United States Virgin Islands","Total Renewable","Electricity Installed Capacity (MW)","All","2024",30.5930
"Uruguay","Total Renewable","Electricity Installed Capacity (MW)","All","2024",4128.7680
"Uzbekistan","Total Renewable","Electricity Installed Capacity (MW)","All","2024",5166.3500
"Vanuatu","Total Renewable","Electricity Installed Capacity (MW)","All","2024",13.6230
"Venezuela (Bolivarian Republic of)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",17024.0700
"Viet Nam","Total Renewable","Electricity Installed Capacity (MW)","All","2024",49014.8750
"Yemen","Total Renewable","Electricity Installed Capacity (MW)","All","2024",410.0000
"Zambia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3403.6880
"Zimbabwe","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1250.1900
